kode_prop,propinsi,kode_kab_kota,kabupaten_kota,kode_kec,kecamatan,id,npsn,sekolah,bentuk,status,alamat_jalan,lintang,bujur
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16006,Kec. Kemayoran,80580A96-2BF5-E011-8A47-95000EAA17D7,20100243,SMP TAMAN SISWA,SMP,S,Jl Garuda No. 25,-6.1921,106.8619
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16004,Kec. Johar Baru,80BBA194-2BF5-E011-BC96-655ABB05B07C,20104525,SDN GALUR 01,SD,N,Jl. KAMPUNG RAWA TENGAH Gg.Kwista RT.014/004,-6.1773,106.8558
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16006,Kec. Kemayoran,4032E795-2BF5-E011-A0B7-1921817D097D,20100240,SMP NEGERI 119,SMP,N,Jl. Harapan Jaya 9/5,-6.1684,106.8637
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16005,Kec. Cempaka Putih,80528895-2BF5-E011-999F-BBBFF810F65A,20104737,SDS Cempaka Wangi,SD,S,Jl. Cempaka Putih Tengah 27 No. 2 B,-6.1779,106.8721
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16006,Kec. Kemayoran,8066E795-2BF5-E011-AEE7-035810D99FDB,20100278,SMP Negeri 59,SMP,N,Jl. Bendungan Jago No. 40,-6.1611,106.8567
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16007,Kec. Sawah Besar,C0E4A994-2BF5-E011-8685-DB2C096FF489,20100464,SDN PASAR BARU 05,SD,N,Jl. Pintu Besi I/42,-6.1594,106.8325
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16003,Kec. Senen,407F8795-2BF5-E011-845E-DB760B90F9DE,20104806,SDS Rumah Kita,SD,S,Jl. Kenari II No. 48,-6.1941,106.8457
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16007,Kec. Sawah Besar,80CAA994-2BF5-E011-9E76-2133831738F7,20100532,SDN Karang Anyar 08 Pg.,SD,N,Jl. B III Karang Anyar Pasar,-6.1563,106.8283
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16001,Kec. Tanah Abang,00EC9D94-2BF5-E011-BBDB-DB421C7D60FB,20104655,SDN Petamburan 01,SD,N,Jl. Petamburan No. 4,-6.196,106.8084
10000,Prov. D.K.I. Jakarta,16000,Kota Jakarta Pusat,16002,Kec. Menteng,4EB77B75-B20B-45C6-AA02-A8242FF6D653,20100295,SMKS TAMAN SISWA 3 JAKARTA,SMK,S,JL. MATRAMAN DALAM II/13,-6.2038,106.8546
